language_code,canonical_iso639_3,display_name,mapping_source
ayi,ayi,Leyigha,iso639_3
ayk,ayk,Akuku,iso639_3
ayl,ayl,Libyan Arabic,iso639_3
aym,aym,Aymara,iso639_3
ayn,ayn,Sanaani Arabic,iso639_3
ayo,ayo,Ayoreo,iso639_3
ayp,ayp,North Mesopotamian Arabic,iso639_3
ayq,ayq,Ayi (Papua New Guinea),iso639_3
ayr,ayr,Central Aymara,iso639_3
ays,ays,Sorsogon Ayta,iso639_3
ayt,ayt,Magbukun Ayta,iso639_3
ayu,ayu,Ayu,iso639_3
ayz,ayz,Mai Brat,iso639_3
aza,aza,Azha,iso639_3
azb,azb,South Azerbaijani,iso639_3
azc,azc,Uto-Aztecan languages,iso639_5_collection
azd,azd,Eastern Durango Nahuatl,iso639_3
aze,aze,Azerbaijani,iso639_3
azg,azg,San Pedro Amuzgos Amuzgo,iso639_3
azj,azj,North Azerbaijani,iso639_3
azm,azm,Ipalapa Amuzgo,iso639_3
azn,azn,Western Durango Nahuatl,iso639_3
azo,azo,Awing,iso639_3
azt,azt,Faire Atta,iso639_3
azz,azz,Highland Puebla Nahuatl,iso639_3
baa,baa,Babatana,iso639_3
bab,bab,Bainouk-Gunyuño,iso639_3
bac,bac,Badui,iso639_3
bad,bad,Banda languages,iso639_5_collection
bae,bae,Baré,iso639_3
baf,baf,Nubaca,iso639_3
bag,bag,Tuki,iso639_3
bah,bah,Bahamas Creole English,iso639_3
bai,bai,Bamileke languages,iso639_5_collection
baj,baj,Barakai,iso639_3
bak,bak,Bashkir,iso639_3
bal,bal,Baluchi,iso639_3
bam,bam,Bambara,iso639_3
ban,ban,Balinese,iso639_3
bao,bao,Waimaha,iso639_3
bap,bap,Bantawa,iso639_3
baq,eus,Basque,iso639_2_bibliographic_alias
bar,bar,Bavarian,iso639_3
bas,bas,Basa (Cameroon),iso639_3
bat,bat,Baltic languages,iso639_5_collection
bau,bau,Bada (Nigeria),iso639_3
bav,bav,Vengo,iso639_3
baw,baw,Bambili-Bambui,iso639_3
bax,bax,Bamun,iso639_3
bay,bay,Batuley,iso639_3
bba,bba,Baatonum,iso639_3
bbb,bbb,Barai,iso639_3
bbc,bbc,Batak Toba,iso639_3
bbd,bbd,Bau,iso639_3
bbe,bbe,Bangba,iso639_3
bbf,bbf,Baibai,iso639_3
bbg,bbg,Barama,iso639_3
bbh,bbh,Bugan,iso639_3
bbi,bbi,Barombi,iso639_3
bbj,bbj,Ghomálá',iso639_3
bbk,bbk,Babanki,iso639_3
bbl,bbl,Bats,iso639_3
bbm,bbm,Babango,iso639_3
bbn,bbn,Uneapa,iso639_3
bbo,bbo,Northern Bobo Madaré,iso639_3
bbp,bbp,West Central Banda,iso639_3
bbq,bbq,Bamali,iso639_3
bbr,bbr,Girawa,iso639_3
bbs,bbs,Bakpinka,iso639_3
bbt,bbt,Mburku,iso639_3
bbu,bbu,Kulung (Nigeria),iso639_3
bbv,bbv,Karnai,iso639_3
bbw,bbw,Baba,iso639_3
bbx,bbx,Bubia,iso639_3
